,task,avg_length,max_length
0,abstract_narrative_understanding,478.1818181818182,555
1,analytic_entailment,181.33333333333334,184
2,vitaminc_fact_verification,468.1818181818182,520
3,identify_math_theorems,1622.0,1725
4,sports_understanding,156.8181818181818,162
5,hinglish_toxicity,705.4285714285714,1188
6,logical_args,690.0,690
7,social_support,434.09090909090907,720
8,logical_deduction,428.72727272727275,469
9,misconceptions_russian,90.5,97
10,penguins_in_a_table,704.6,742
11,goal_step_wikihow,402.3636363636364,765
12,novel_concepts,263.0,263
13,elementary_math_qa,387.09090909090907,459
14,english_russian_proverbs,408.6666666666667,420
15,play_dialog_same_or_different,832.7272727272727,917
16,human_organs_senses,118.5,144
17,snarks,221.42857142857142,280
18,known_unknowns,146.5,147
19,date_understanding,205.72727272727272,218
20,timedial,1213.0,1518
21,tracking_shuffled_objects,595.3636363636364,625
22,anachronisms,162.25,183
23,cryobiology_spanish,285.2,318
24,symbol_interpretation,1049.3636363636363,1090
25,disambiguation_qa,311.1111111111111,330
26,gre_reading_comprehension,2318.0,2318
27,color,298.3636363636364,303
28,contextual_parametric_knowledge_conflicts,1136.5454545454545,2035
29,hhh_alignment,1038.375,1605
30,geometric_shapes,579.5454545454545,668
31,conceptual_combinations,345.0,366
32,rhyming,236.36363636363637,305
33,dyck_languages,241.9090909090909,309
34,temporal_sequences,685.2727272727273,716
35,international_phonetic_alphabet_nli,777.2,894
36,hindu_knowledge,214.66666666666666,232
37,strange_stories,590.0,708
38,empirical_judgments,316.75,322
39,arithmetic,302.6363636363636,347
40,implicatures,199.27272727272728,224
41,what_is_the_tao,439.0,439
42,understanding_fables,826.2857142857143,942
43,crass_ai,291.0,319
44,analogical_similarity,2857.3636363636365,2867
45,code_line_description,444.5,461
46,swahili_english_proverbs,389.0,428
47,identify_odd_metaphor,316.5,320
48,presuppositions_as_nli,567.5454545454545,626
49,emojis_emotion_prediction,237.6,238
50,phrase_relatedness,190.25,197
51,indic_cause_and_effect,965.6363636363636,1321
52,logic_grid_puzzle,1673.4545454545455,2100
53,evaluating_information_essentiality,586.0,624
54,social_iqa,244.27272727272728,287
55,odd_one_out,100.0,102
56,simple_ethical_questions,438.25,488
57,unit_conversion,156.72727272727272,258
58,emoji_movie,266.5,282
59,epistemic_reasoning,360.72727272727275,446
60,physics,486.125,555
61,implicit_relations,560.0,657
62,cs_algorithms,177.27272727272728,199
63,checkmate_in_one,1350.2727272727273,1574
64,riddle_sense,280.5,300
65,persian_idioms,386.6666666666667,479
66,common_morpheme,185.5,187
67,suicide_risk,1078.0,1078
68,reasoning_about_colored_objects,243.27272727272728,279
69,similarities_abstraction,182.33333333333334,193
70,strategyqa,278.3636363636364,320
71,cause_and_effect,209.0,251
72,figure_of_speech_detection,191.0,191
73,fact_checker,162.0,176
74,ruin_names,251.0909090909091,267
75,discourse_marker_prediction,1425.2727272727273,1692
76,salient_translation_error_detection,828.3636363636364,885
77,nonsense_words_grammar,148.0,154
78,causal_judgment,1075.7142857142858,1212
79,periodic_elements,94.18181818181819,98
80,entailed_polarity,137.4,140
81,navigate,201.0,235
82,question_selection,1283.6363636363637,1611
83,misconceptions,201.5,225
84,minute_mysteries_qa,6525.545454545455,7025
85,bbq_lite_json,344.6363636363636,383
86,intersect_geometry,621.0,789
87,fantasy_reasoning,331.14285714285717,360
88,general_knowledge,280.6666666666667,301
89,moral_permissibility,395.1818181818182,461
90,logical_fallacy_detection,226.27272727272728,243
