,task,size,mean_input_len,median_input_len
0,cs_algorithms,250,134.852,138.0
1,bbq_lite_json,250,322.928,311.0
2,english_russian_proverbs,64,332.390625,335.0
3,disambiguation_qa,207,339.42512077294685,340.0
4,date_understanding,250,116.64,119.0
5,hhh_alignment,179,356.3854748603352,128.0
6,timedial,250,1004.54,938.0
7,known_unknowns,30,100.13333333333334,98.0
8,logical_fallacy_detection,250,206.252,211.5
9,crass_ai,28,278.7142857142857,283.0
10,minute_mysteries_qa,250,5992.456,6422.0
11,physics,184,378.8097826086956,370.0
12,logic_grid_puzzle,250,1483.196,1372.5
13,fantasy_reasoning,161,332.37888198757764,336.0
14,common_morpheme,34,159.58823529411765,158.0
15,geometric_shapes,250,317.756,316.0
16,intersect_geometry,250,425.808,425.5
17,tracking_shuffled_objects,250,607.528,600.5
18,odd_one_out,69,64.94202898550725,64.0
19,navigate,250,170.012,160.5
20,moral_permissibility,250,418.388,394.0
21,epistemic_reasoning,250,368.18,345.0
22,play_dialog_same_or_different,250,915.544,911.5
23,reasoning_about_colored_objects,250,201.396,198.0
24,novel_concepts,16,267.875,268.0
25,which_wiki_edit,250,9249.6,3714.0
26,emoji_movie,80,176.925,174.0
27,swahili_english_proverbs,123,366.1056910569106,363.0
28,indic_cause_and_effect,250,139.536,176.5
29,figure_of_speech_detection,43,164.0,156.0
30,analogical_similarity,250,4036.7,4034.0
31,misconceptions_russian,33,0.0,0.0
32,causal_judgment,152,1023.671052631579,876.0
33,riddle_sense,33,226.54545454545453,237.0
34,implicit_relations,68,510.8970588235294,503.0
35,sports_understanding,250,159.468,156.0
36,presuppositions_as_nli,250,596.388,593.0
37,implicatures,250,140.012,134.0
38,unit_conversion,250,57.54,50.5
39,similarities_abstraction,60,124.4,124.0
40,social_iqa,250,210.852,206.0
41,periodic_elements,250,67.656,66.0
42,general_knowledge,54,186.74074074074073,186.0
43,identify_odd_metaphor,31,320.8709677419355,322.0
44,hinglish_toxicity,160,283.16875,182.5
45,dyck_languages,250,160.408,140.0
46,identify_math_theorems,37,1181.4054054054054,1250.0
47,nonsense_words_grammar,34,115.61764705882354,108.0
48,social_support,250,338.8,283.5
49,misconceptions,176,174.8465909090909,156.0
50,simple_ethical_questions,92,444.17391304347825,387.0
51,vitaminc_fact_verification,250,518.472,511.0
52,temporal_sequences,250,580.812,583.0
53,code_line_description,44,340.72727272727275,350.0
54,snarks,145,204.04827586206898,202.0
55,goal_step_wikihow,250,296.056,283.0
56,analytic_entailment,54,174.8148148148148,172.5
57,strange_stories,140,528.2142857142857,524.0
58,question_selection,250,1290.144,1189.5
59,checkmate_in_one,250,451.172,416.5
60,penguins_in_a_table,120,435.5833333333333,405.0
61,persian_idioms,50,239.46,239.0
62,cause_and_effect,123,121.6910569105691,158.0
63,what_is_the_tao,20,343.6,413.0
64,rhyming,250,155.82,119.0
65,evaluating_information_essentiality,52,654.5192307692307,646.5
66,ruin_names,250,196.708,191.0
67,anachronisms,184,163.47282608695653,153.5
68,real_or_fake_text,250,2465.7,2396.0
69,understanding_fables,152,812.7105263157895,753.0
70,fact_checker,250,131.512,127.0
71,arithmetic,250,138.128,136.5
72,strategyqa,250,64.16,61.0
73,conceptual_combinations,84,322.9404761904762,322.5
74,entailed_polarity,119,122.42857142857143,120.0
75,authorship_verification,250,8052.464,8032.0
76,gre_reading_comprehension,15,2590.6666666666665,2807.0
77,phrase_relatedness,80,190.075,190.0
78,abstract_narrative_understanding,250,507.432,507.5
79,emojis_emotion_prediction,105,219.0,219.0
80,discourse_marker_prediction,250,1213.928,1193.0
81,hindu_knowledge,140,159.17142857142858,149.0
82,logical_deduction,250,422.1,409.5
83,empirical_judgments,80,400.1,400.0
84,cryobiology_spanish,117,174.2991452991453,179.0
85,logical_args,16,804.4375,835.5
86,salient_translation_error_detection,250,959.848,945.5
87,human_organs_senses,26,108.76923076923077,109.5
88,symbol_interpretation,250,755.844,803.5
89,international_phonetic_alphabet_nli,101,484.35643564356434,477.0
90,elementary_math_qa,250,278.604,259.5
91,color,250,250.68,255.0
92,contextual_parametric_knowledge_conflicts,250,766.164,659.5
93,suicide_risk,24,977.8333333333334,806.0
